1	20	2000	9000	10000
2	20	2000	12000	14000
3	20	2000	10000	10900
4	20	2000	10000	13000
5	32	10000	30000	60000
6	35	20000	45000	90000
7	30	10000	40000	80000
8	30	8000	20000	60000
9	32	20000	50000	130000
10	32	30000	80000	180000
11	40	20000	40000	150000
12	55	10000	65000	200000
13	45	20000	60000	80000
14	30	10000	30000	50000
15	40	20000	80000	100000
16	35	20000	100000	200000
17	47	10000	60000	100000
18	32	20000	60000	160000
19	40	50000	140000	200000
20	30	30000	80000	150000
21	39	10000	130000	200000
22	47	40000	160000	290000
23	47	20000	110000	200000
24	32	60000	120000	180000
25	25	2000	7000	10000
26	50	10000	180000	250000
27	50	80000	300000	550000
28	40	100000	200000	400000
29	50	20000	80000	200000
30	45	40000	120000	200000
31	35	40000	60000	120000
32	55	60000	200000	450000
33	65	50000	100000	150000
34	35	30000	60000	100000
35	30	10000	40000	70000
36	50	10000	40000	80000
37	30	10000	50000	100000
38	25	10000	30000	50000
39	40	30000	140000	220000
40	40	30000	80000	170000
41	35	40000	140000	280000
42	25	20000	100000	200000
43	50	10000	80000	180000
44	50	10000	33000	80000
45	40	10000	50000	80000
46	80	10000	30000	80000
47	35	10000	25000	50000
48	30	50000	100000	130000
49	40	4000	20000	40000
50	40	2000	60000	150000
51	40	10000	60000	200000
52	50	10000	80000	160000
53	50	10000	70000	140000
54	40	50000	200000	400000
55	30	10000	60000	150000
56	65	10000	60000	130000
57	55	10000	120000	200000
58	40	20000	60000	150000
59	45	2000	30000	50000
60	40	50000	100000	130000
61	40	2000	60000	80000
62	60	50000	350000	650000
63	90	20000	60000	200000
64	40	10000	20000	40000
65	55	40000	200000	400000
66	40	40000	100000	240000
67	60	20000	60000	110000
68	40	90000	200000	250000
69	60	20000	60000	300000
70	60	10000	50000	100000
71	35	10000	90000	150000
72	30	2000	50000	70000
73	35	80000	60000	80000
74	30	40000	180000	280000
75	30	20000	80000	100000
76	45	10000	30000	40000
77	30	10000	80000	100000
78	35	30000	80000	100000
79	40	10000	45000	75000
80	40	10000	50000	100000
81	35	20000	40000	80000
82	35	40000	110000	150000
83	40	20000	90000	120000
84	35	15000	36000	83000
85	30	2000	30000	50000
86	30	20000	60000	130000
87	30	20000	60000	150000
88	30	10000	40000	75000
89	30	20000	60000	130000
90	35	20000	50000	80000
91	40	60000	120000	180000
92	40	40000	120000	180000
93	30	20000	40000	80000
94	55	30000	120000	190000
95	35	10000	40000	70000
96	35	10000	40000	70000
97	35	10000	25000	42000
98	35	10000	40000	58000
99	45	10000	80000	120000
100	45	10000	200000	300000
101	55	10000	200000	300000
102	35	10000	80000	120000
103	45	10000	50000	100000
104	35	10000	200000	300000
105	50	10000	300000	500000
106	40	10000	250000	350000
107	35	10000	80000	150000
108	50	30000	100000	150000
109	30	10000	20000	30000
110	30	10000	20000	30000
111	35	10000	12000	15000
112	30	20000	60000	120000
113	30	10000	100000	150000
114	30	30000	100000	120000
115	30	10000	180000	260000
116	30	10000	20000	30000
117	30	10000	30000	50000
118	40	10000	60000	95000
119	40	15000	40000	60000
120	40	30000	40000	60000
121	20	30000	40000	60000
122	20	30000	40000	60000
123	20	30000	40000	60000
124	20	30000	40000	60000
125	20	30000	40000	60000
126	20	30000	40000	60000
127	20	30000	40000	60000
128	20	30000	40000	60000
129	20	30000	40000	60000
130	20	30000	40000	60000
131	20	30000	40000	60000
132	20	30000	40000	60000
