5	5	5	5	5	5	2	2	3005	3005	5	5	3002	3002	2	2	4	4	2	2	0
0	4	4	2	2	4	4	2	2	5	5	3	3	2	2	3	3	4	4	2	2
0	0	4	4	4	4	2	2	5	5	3	3	5	5	4	4	4	4	2	2	0
0	3	3	3	3	3003	3003	3	3	3	3	2	2	5	5	3005	3005	5	5	5	5
4	4	4	4	3	3	2	2	5	5	4	4	5	5	2	2	5	5	2	2	0
0	3	3	2	2	2	2	5	5	4	4	5	5	2	2	4	4	4	4	2	2
3	3	2	2	4	4	4	4	5	5	201	201	5	5	2	2	2	2	4	4	0
0	3	3	3004	3004	3	3	2	2	4	4	3	3	4	4	5	5	3004	3004	5	5
5	5	4	4	2	2	3	3	2	2	5	5	3	3	4	4	2	2	5	5	0
0	5	5	4	4	2	2	4	4	3	3	5	5	5	5	3	3	2	2	4	4
2	2	3	3	2	2	3	3	3	3	4	4	3	3	3	3	2	2	4	4	0
0	2	2	5	5	3003	3003	4	4	5	5	4	4	3	3	3002	3002	5	5	4	4
3	3	5	5	3	3	2	2	4	4	5	5	4	4	2	2	3	3	5	5	0
0	2	2	4	4	2	2	5	5	3	3	4	4	2	2	3	3	3	3	5	5
2	2	201	201	4	4	401	401	5	5	5	5	501	501	2	2	301	301	3	3	0
