0	5	5	5	5	3	3	3	3	2	2	2	2	5	5	5	5	4	4	4	4
3	3	0	0	0	0	0	0	0	0	203	203	203	203	5	5	503	503	2	2	0
0	3	3	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	2	2
3	3	403	403	4	4	303	303	303	303	0	0	0	0	0	0	0	0	2	2	0
0	5	5	5	5	5	5	5	5	401	401	4	4	3	3	3	3	2	2	2	2
2	2	0	0	0	0	0	0	0	0	403	403	403	403	3	3	303	303	4	4	0
0	2	2	4	4	4	4	5	5	2	2	2	2	2	2	2	2	2	2	4	4
2	2	403	403	4	4	503	503	503	503	0	0	0	0	0	0	0	0	4	4	0
0	3	3	3	3	3	3	3	3	3	3	203	203	5	5	5	5	4	4	3	3
5	5	0	0	0	0	0	0	0	0	203	203	203	203	5	5	503	503	3	3	0
0	5	5	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	3	3
5	5	403	403	4	4	303	303	303	303	0	0	0	0	0	0	0	0	3	3	0
0	2	2	2	2	2	2	2	2	2	2	401	401	5	5	5	5	3	3	4	4
4	4	0	0	0	0	0	0	0	0	403	403	403	403	5	5	503	503	4	4	0
0	4	4	3	3	3	3	5	5	5	5	3	3	3	3	3	3	3	3	4	4
4	4	303	303	3	3	503	503	503	503	0	0	0	0	0	0	0	0	5	5	0
0	2	2	2	2	4	4	4	4	3	3	3	3	4	4	4	4	5	5	5	5
2	2	0	0	0	0	0	0	0	0	303	303	303	303	4	4	403	403	5	5	0
0	4	4	2	2	5	5	2	2	2	2	2	2	2	2	3	3	3	3	2	2
4	4	203	203	203	203	503	503	503	503	0	0	0	0	0	0	0	0	2	2	0
0	3	3	3	3	2	2	2	2	0	0	5	5	5	5	4	4	4	4	2	2
3	3	301	301	0	0	201	201	2	2	5	5	501	501	0	0	401	401	4	4	0
