0	204	204	0	0	0	0	404	404	0	0	0	0	0	0	0	0	0	0	0	0
204	204	7	7	7	7	404	404	0	0	0	0	204	204	0	0	0	0	304	304	0
0	3	3	0	0	18	18	7	7	0	0	0	0	204	204	7	7	7	7	304	304
3	3	204	204	0	0	7	7	0	0	0	0	7	7	18	18	0	0	4	4	0
0	4	4	204	204	0	0	304	304	7	7	0	0	7	7	0	0	304	304	4	4
4	4	204	204	18	18	0	0	304	304	7	7	404	404	0	0	304	304	2	2	0
0	4	4	0	0	0	0	304	304	7	7	404	404	0	0	18	18	304	304	2	2
4	4	18	18	3	3	2	2	2	2	7	7	404	404	0	0	0	0	2	2	0
0	4	4	3	3	204	204	204	204	7	7	3	3	3	3	4	4	18	18	2	2
404	404	404	404	304	304	304	304	13	13	13	13	304	304	304	304	4	4	2	2	0
0	7	7	7	7	704	704	704	704	13	13	13	13	404	404	404	404	204	204	204	204
0	0	7	7	3	3	3	3	18	18	0	0	504	504	504	504	5	5	5	5	0
0	7	7	0	0	18	18	3	3	0	0	18	18	4	4	4	4	5	5	0	0
3	3	7	7	0	0	0	0	7	7	0	0	4	4	18	18	0	0	5	5	0
0	3	3	404	404	0	0	7	7	0	0	5	5	0	0	0	0	5	5	4	4
0	0	3	3	404	404	404	404	7	7	0	0	5	5	0	0	304	304	4	4	0
0	3	3	501	501	5	5	7	7	2	2	5	5	304	304	304	304	4	4	0	0
4	4	4	4	4	4	0	0	2	2	2	2	5	5	7	7	701	701	4	4	0
