0	504	504	504	504	0	0	2	2	2	2	4	4	5	5	5	5	5	5	5	5
15	15	14	14	504	504	0	0	2	2	4	4	3	3	0	0	304	304	15	15	0
0	15	15	504	504	0	0	5	5	5	5	4	4	0	0	304	304	14	14	15	15
4	4	2	2	2	2	4	4	4	4	2	2	5	5	0	0	304	304	304	304	0
0	4	4	2	2	4	4	2	2	2	2	5	5	4	4	5	5	5	5	5	5
4	4	2	2	3	3	3	3	304	304	504	504	4	4	0	0	3	3	2	2	0
0	4	4	0	0	15	15	304	304	14	14	504	504	15	15	0	0	2	2	2	2
5	5	5	5	0	0	4	4	504	504	504	504	5	5	0	0	4	4	5	5	0
0	2	2	5	5	4	4	2	2	3	3	5	5	5	5	4	4	0	0	5	5
2	2	2	2	4	4	0	0	2	2	3	3	5	5	0	0	404	404	404	404	0
0	15	15	204	204	15	15	0	0	3	3	3	3	0	0	404	404	14	14	15	15
204	204	14	14	204	204	0	0	5	5	2	2	0	0	15	15	404	404	15	15	0
0	204	204	204	204	0	0	5	5	2	2	3	3	0	0	5	5	5	5	5	5
3	3	3	3	301	301	4	4	4	4	401	401	3	3	2	2	201	201	2	2	0
